I, II, III, aVR, aVL, aVF, V1, V2, V3, V4, V5, V6, 
-82, -43, 39, 63, -61, -2, 97, 9, 14, -9, -63, 39, 
-92, -43, 48, 68, -70, 2, 112, 24, 24, 0, -48, 53, 
-102, -48, 53, 75, -78, 2, 112, 29, 29, 0, -43, 53, 
-102, -48, 53, 75, -78, 2, 112, 34, 34, 0, -43, 53, 
-102, -53, 48, 78, -75, -2, 112, 39, 39, 0, -39, 53, 
-97, -63, 34, 80, -65, -14, 117, 39, 34, -9, -39, 43, 
-102, -58, 43, 80, -73, -7, 117, 39, 29, -9, -39, 43, 
-107, -53, 53, 80, -80, 0, 117, 34, 29, -9, -39, 43, 
-122, -53, 68, 87, -95, 7, 117, 34, 29, -9, -39, 39, 
-131, -63, 68, 97, -100, 2, 107, 24, 34, -9, -53, 48, 
